cluster,uc_DTXSID,bc_DTXSID,sr_cor,sr_pval
1,DTXSID00199589,DTXSID0020315,-0.16783216783216784,0.6037276512881992
1,DTXSID00199589,DTXSID0021961,0.24475524475524477,0.44350427562788497
1,DTXSID00199589,DTXSID1020069,0.04195804195804196,0.9037388362023697
1,DTXSID00199589,DTXSID2020977,0.4055944055944056,0.1926121839460474
1,DTXSID00199589,DTXSID6020359,0.2587412587412588,0.4169384265398784
1,DTXSID00199589,DTXSID7021441,-0.2517482517482518,0.4301152887630988
1,DTXSID00199589,DTXSID7024902,-0.06293706293706294,0.8516819112532925
1,DTXSID0020105,DTXSID0020315,-0.31468531468531474,0.3194719125614523
1,DTXSID0020105,DTXSID0021961,-0.2097902097902098,0.5135125134125788
1,DTXSID0020105,DTXSID1020069,0.06293706293706294,0.8516819112532922
1,DTXSID0020105,DTXSID2020977,0.18881118881118883,0.557827775088338
1,DTXSID0020105,DTXSID6020359,0.04895104895104896,0.8863351088649201
1,DTXSID0020105,DTXSID7021441,-0.1328671328671329,0.6833655342846062
1,DTXSID0020105,DTXSID7024902,0.19580419580419584,0.5428735206298202
1,DTXSID0020232,DTXSID0020315,-0.4475524475524476,0.1472053777671553
1,DTXSID0020232,DTXSID0021961,0.09090909090909093,0.7831969102946084
1,DTXSID0020232,DTXSID1020069,0.5034965034965035,0.0987515700723274
1,DTXSID0020232,DTXSID2020977,-0.2377622377622378,0.4571022068090019
1,DTXSID0020232,DTXSID6020359,-0.16783216783216784,0.6037276512881992
1,DTXSID0020232,DTXSID7021441,0.2657342657342658,0.40397665927502957
1,DTXSID0020232,DTXSID7024902,0.13986013986013987,0.6671505359874287
1,DTXSID0020234,DTXSID0020315,0.27272727272727276,0.39123274602615465
1,DTXSID0020234,DTXSID0021961,-0.30069930069930073,0.3424833754401925
1,DTXSID0020234,DTXSID1020069,-0.3846153846153847,0.21838742691298815
1,DTXSID0020234,DTXSID2020977,0.7342657342657344,0.00905209711737095
1,DTXSID0020234,DTXSID6020359,0.5874125874125875,0.04884485830929574
1,DTXSID0020234,DTXSID7021441,-0.4475524475524476,0.1472053777671553
1,DTXSID0020234,DTXSID7024902,0.5734265734265734,0.05548132408162134
1,DTXSID0020236,DTXSID0020315,0.09090909090909093,0.7831969102946084
1,DTXSID0020236,DTXSID0021961,-0.31468531468531474,0.3194719125614523
1,DTXSID0020236,DTXSID1020069,-0.27972027972027974,0.37870923364203934
1,DTXSID0020236,DTXSID2020977,0.5944055944055945,0.04575310008649374
1,DTXSID0020236,DTXSID6020359,0.49650349650349657,0.10409283287352607
1,DTXSID0020236,DTXSID7021441,-0.3286713286713287,0.29738507772010603
1,DTXSID0020236,DTXSID7024902,0.5664335664335665,0.059034148215904074
1,DTXSID0020654,DTXSID0020315,0.6363636363636365,0.03011426472965619
1,DTXSID0020654,DTXSID0021961,0.27972027972027974,0.37870923364203934
1,DTXSID0020654,DTXSID1020069,-0.1188811188811189,0.7161843265955253
1,DTXSID0020654,DTXSID2020977,0.3706293706293707,0.23673221413855
1,DTXSID0020654,DTXSID6020359,0.5244755244755246,0.08388458723291484
1,DTXSID0020654,DTXSID7021441,-0.4265734265734267,0.1688995254052027
1,DTXSID0020654,DTXSID7024902,0.2867132867132867,0.36640845611198763
1,DTXSID0020656,DTXSID0020315,-0.5944055944055945,0.04575310008649374
1,DTXSID0020656,DTXSID0021961,-0.4685314685314686,0.12747265257630852
1,DTXSID0020656,DTXSID1020069,-0.04195804195804196,0.9037388362023694
1,DTXSID0020656,DTXSID2020977,-0.4475524475524476,0.1472053777671553
1,DTXSID0020656,DTXSID6020359,-0.3566433566433567,0.25601253730902407
1,DTXSID0020656,DTXSID7021441,0.3286713286713287,0.29738507772010603
1,DTXSID0020656,DTXSID7024902,0.3356643356643357,0.2866909142497456
1,DTXSID0020737,DTXSID0020315,0.5034965034965035,0.0987515700723274
1,DTXSID0020737,DTXSID0021961,0.34265734265734266,0.27623051258815623
1,DTXSID0020737,DTXSID1020069,0.08391608391608392,0.8001975179523347
1,DTXSID0020737,DTXSID2020977,0.13986013986013987,0.6671505359874287
1,DTXSID0020737,DTXSID6020359,0.3566433566433567,0.25601253730902407
1,DTXSID0020737,DTXSID7021441,-0.34965034965034975,0.2660043093251898
1,DTXSID0020737,DTXSID7024902,0.18181818181818185,0.5729582212099558
1,DTXSID0021177,DTXSID0020315,-0.06293706293706294,0.8516819112532925
1,DTXSID0021177,DTXSID0021961,0.18181818181818185,0.5729582212099558
1,DTXSID0021177,DTXSID1020069,0.3356643356643357,0.2866909142497456
1,DTXSID0021177,DTXSID2020977,0.09090909090909093,0.7831969102946084
1,DTXSID0021177,DTXSID6020359,0.24475524475524477,0.44350427562788497
1,DTXSID0021177,DTXSID7021441,0.24475524475524477,0.44350427562788497
1,DTXSID0021177,DTXSID7024902,0.4755244755244756,0.12131935644669292
1,DTXSID0021206,DTXSID0020315,0.4055944055944056,0.1926121839460474
1,DTXSID0021206,DTXSID0021961,0.027972027972027975,0.9386633634935001
1,DTXSID0021206,DTXSID1020069,-0.6083916083916084,0.040002048788645786
1,DTXSID0021206,DTXSID2020977,0.9160839160839161,0
1,DTXSID0021206,DTXSID6020359,0.8111888111888113,0.002368930397823616
1,DTXSID0021206,DTXSID7021441,-0.6643356643356645,0.022159207150302333
1,DTXSID0021206,DTXSID7024902,0.17482517482517487,0.5882598949233351
1,DTXSID0021381,DTXSID0020315,0.9230769230769232,0
1,DTXSID0021381,DTXSID0021961,0.48251748251748255,0.11537360509486391
1,DTXSID0021381,DTXSID1020069,-0.1048951048951049,0.7494790426721831
1,DTXSID0021381,DTXSID2020977,0.5944055944055945,0.04575310008649374
1,DTXSID0021381,DTXSID6020359,0.7692307692307694,0.0052529205777348
1,DTXSID0021381,DTXSID7021441,-0.24475524475524477,0.44350427562788497
1,DTXSID0021381,DTXSID7024902,0.1328671328671329,0.6833655342846062
1,DTXSID0021759,DTXSID0020315,0.5454545454545455,0.07067890506141748
1,DTXSID0021759,DTXSID0021961,0.06293706293706294,0.8516819112532922
1,DTXSID0021759,DTXSID1020069,-0.6223776223776225,0.03480012285534383
1,DTXSID0021759,DTXSID2020977,0.9580419580419582,0
1,DTXSID0021759,DTXSID6020359,0.8391608391608392,0.0011918743865398027
1,DTXSID0021759,DTXSID7021441,-0.6433566433566434,0.02795455282181709
1,DTXSID0021759,DTXSID7024902,0.16083916083916086,0.6193561690338674
1,DTXSID0021834,DTXSID0020315,0.1328671328671329,0.6833655342846062
1,DTXSID0021834,DTXSID0021961,0.48251748251748255,0.11537360509486391
1,DTXSID0021834,DTXSID1020069,0.6013986013986015,0.04280686898757623
1,DTXSID0021834,DTXSID2020977,0.06293706293706294,0.8516819112532922
1,DTXSID0021834,DTXSID6020359,0.2097902097902098,0.5135125134125788
1,DTXSID0021834,DTXSID7021441,0.27272727272727276,0.39123274602615465
1,DTXSID0021834,DTXSID7024902,0.30069930069930073,0.34248337544019264
1,DTXSID0021917,DTXSID0020315,0.9160839160839161,0
1,DTXSID0021917,DTXSID0021961,0.49650349650349657,0.10409283287352607
1,DTXSID0021917,DTXSID1020069,-0.08391608391608392,0.8001975179523347
1,DTXSID0021917,DTXSID2020977,0.5874125874125875,0.04884485830929574
1,DTXSID0021917,DTXSID6020359,0.7832167832167833,0.0041154500202930395
1,DTXSID0021917,DTXSID7021441,-0.2307692307692308,0.47090569352639616
1,DTXSID0021917,DTXSID7024902,0.14685314685314688,0.6510733511166211
1,DTXSID0021969,DTXSID0020315,-0.05594405594405595,0.868980339326347
1,DTXSID0021969,DTXSID0021961,0.37762237762237766,0.22744313246537842
1,DTXSID0021969,DTXSID1020069,0.4125874125874126,0.1844806846022618
1,DTXSID0021969,DTXSID2020977,0.1118881118881119,0.7327754460345058
1,DTXSID0021969,DTXSID6020359,0.24475524475524477,0.44350427562788497
1,DTXSID0021969,DTXSID7021441,-0.05594405594405595,0.868980339326347
1,DTXSID0021969,DTXSID7024902,0.3286713286713287,0.29738507772010603
1,DTXSID0022010,DTXSID0020315,0.027972027972027975,0.9386633634935001
1,DTXSID0022010,DTXSID0021961,0.48951048951048953,0.10963245214599496
1,DTXSID0022010,DTXSID1020069,0.48251748251748255,0.11537360509486391
1,DTXSID0022010,DTXSID2020977,-0.4125874125874126,0.18448068460226166
1,DTXSID0022010,DTXSID6020359,-0.2377622377622378,0.4571022068090019
1,DTXSID0022010,DTXSID7021441,0.02097902097902098,0.9561691549379485
1,DTXSID0022010,DTXSID7024902,-0.30069930069930073,0.3424833754401925
1,DTXSID0022519,DTXSID0020315,-0.6223776223776225,0.03480012285534383
1,DTXSID0022519,DTXSID0021961,-0.15384615384615385,0.6351399553775858
1,DTXSID0022519,DTXSID1020069,0.5034965034965035,0.0987515700723274
1,DTXSID0022519,DTXSID2020977,-0.5034965034965035,0.0987515700723274
1,DTXSID0022519,DTXSID6020359,-0.39860139860139865,0.20097297553057908
1,DTXSID0022519,DTXSID7021441,0.18181818181818185,0.5729582212099558
1,DTXSID0022519,DTXSID7024902,0.3636363636363637,0.24625522801216132
1,DTXSID0023296,DTXSID0020315,-0.44055944055944063,0.1542157502567181
1,DTXSID0023296,DTXSID0021961,-0.027972027972027975,0.9386633634935004
1,DTXSID0023296,DTXSID1020069,0.4125874125874126,0.1844806846022618
1,DTXSID0023296,DTXSID2020977,-0.37762237762237766,0.22744313246537842
1,DTXSID0023296,DTXSID6020359,-0.2587412587412588,0.4169384265398784
1,DTXSID0023296,DTXSID7021441,0.30069930069930073,0.34248337544019264
1,DTXSID0023296,DTXSID7024902,0.04895104895104896,0.8863351088649201
1,DTXSID0023745,DTXSID0020315,-0.45454545454545464,0.1404130384122874
1,DTXSID0023745,DTXSID0021961,-0.3286713286713287,0.29738507772010603
1,DTXSID0023745,DTXSID1020069,0.08391608391608392,0.8001975179523347
1,DTXSID0023745,DTXSID2020977,0.1048951048951049,0.7494790426721833
1,DTXSID0023745,DTXSID6020359,-0.1188811188811189,0.7161843265955253
1,DTXSID0023745,DTXSID7021441,-0.24475524475524477,0.44350427562788497
1,DTXSID0023745,DTXSID7024902,0.48251748251748255,0.11537360509486391
1,DTXSID0024050,DTXSID0020315,0.7832167832167833,0.0041154500202930395
1,DTXSID0024050,DTXSID0021961,0.21678321678321683,0.49911474762536273
