DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID90786821,41448-83-3,Acetic acid--3-methoxypropan-1-ol (1/1),0,0,Acetic acid--3-methoxypropan-1-ol (1/1),41448-83-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5174825174825176,0.08865087857553383,0.6091954022988507,0.6091954022988507
DTXSID90942440,2030-84-4,Dodec-4-ene,1,0.25,Dodec-4-ene,2030-84-4,DTXSID7022413,Isoeugenol,97-54-1,0.2097902097902098,0.5135125134125788,0.3563218390804598,0.6063218390804598
DTXSID1021619,590-86-3,3-Methylbutanal,0,0,3-Methylbutanal,590-86-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.5104895104895106,0.09360538002826373,0.6034482758620691,0.6034482758620691
DTXSID40866425,54446-78-5,1-(2-Butoxyethoxy)ethanol,0,0,1-(2-Butoxyethoxy)ethanol,54446-78-5,DTXSID7022413,Isoeugenol,97-54-1,0.5034965034965035,0.0987515700723274,0.5977011494252873,0.5977011494252873
DTXSID9027021,124-17-4,2-(2-Butoxyethoxy)ethyl acetate,0,0,2-(2-Butoxyethoxy)ethyl acetate,124-17-4,DTXSID3020964,Nitrobenzene,98-95-3,0.5034965034965035,0.0987515700723274,0.5977011494252873,0.5977011494252873
DTXSID1051779,1678-91-7,Ethylcyclohexane,1,0.25,Ethylcyclohexane,1678-91-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,0.5948275862068966
DTXSID40879237,2497-18-9,trans-Hex-2-enyl acetate,1,0.25,trans-Hex-2-enyl acetate,2497-18-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.19580419580419584,0.5428735206298202,0.3448275862068966,0.5948275862068966
DTXSID20862268,598-75-4,"2-Butanol, 3-methyl-",0,0,"2-Butanol, 3-methyl-",598-75-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.49650349650349657,0.10409283287352607,0.5919540229885059,0.5919540229885059
DTXSID4062436,2463-63-0,2-Heptenal,1,0.25,2-Heptenal,2463-63-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.18881118881118883,0.557827775088338,0.3390804597701149,0.5890804597701149
DTXSID60334651,54004-42-1,"Ethyl 2,3-dimethylbutanoate",0,0,"Ethyl 2,3-dimethylbutanoate",54004-42-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.48951048951048953,0.10963245214599496,0.5862068965517241,0.5862068965517241
DTXSID8059348,107-50-6,"Cycloheptasiloxane, tetradecamethyl-",0,0,"Cycloheptasiloxane, tetradecamethyl-",107-50-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.48951048951048953,0.10963245214599496,0.5862068965517241,0.5862068965517241
DTXSID0026882,111-65-9,Octane,0,0,Octane,111-65-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.48251748251748255,0.11537360509486391,0.5804597701149425,0.5804597701149425
DTXSID6024913,124-18-5,Decane,0,0,Decane,124-18-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.48251748251748255,0.11537360509486391,0.5804597701149425,0.5804597701149425
DTXSID6022006,142-92-7,Hexyl acetate,0,0,Hexyl acetate,142-92-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4755244755244756,0.12131935644669292,0.5747126436781609,0.5747126436781609
DTXSID60870448,105-42-0,4-Methylhexan-2-one,0,0,4-Methylhexan-2-one,105-42-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4755244755244756,0.12131935644669292,0.5747126436781609,0.5747126436781609
DTXSID30873067,3856-25-5,"8-Isopropyl-1,3-dimethyltricyclo(4.4.0.02,7)dec-3-ene",1,0.25,"8-Isopropyl-1,3-dimethyltricyclo(4.4.0.02,7)dec-3-ene",3856-25-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.16783216783216784,0.6037276512881992,0.32183908045977017,0.5718390804597702
DTXSID3058325,17699-14-8,alpha-Cubebene,1,0.25,alpha-Cubebene,17699-14-8,DTXSID7022413,Isoeugenol,97-54-1,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.5660919540229885
DTXSID50862554,1120-72-5,"Cyclopentanone, 2-methyl-",1,0.25,"Cyclopentanone, 2-methyl-",1120-72-5,DTXSID3020964,Nitrobenzene,98-95-3,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.5660919540229885
DTXSID7022128,868-77-9,2-Hydroxyethyl methacrylate,1,0.25,2-Hydroxyethyl methacrylate,868-77-9,DTXSID7022413,Isoeugenol,97-54-1,0.16083916083916086,0.6193561690338674,0.31609195402298856,0.5660919540229885
DTXSID1052377,67801-65-4,"3,6-Dimethylcyclohex-3-ene-1-carbaldehyde",0,0,"3,6-Dimethylcyclohex-3-ene-1-carbaldehyde",67801-65-4,DTXSID7022413,Isoeugenol,97-54-1,0.4615384615384616,0.1338363157384329,0.5632183908045978,0.5632183908045978
DTXSID5044574,68039-49-6,"2,4-Dimethyl-3-cyclohexene-1-carboxaldehyde",0,0,"2,4-Dimethyl-3-cyclohexene-1-carboxaldehyde",68039-49-6,DTXSID7022413,Isoeugenol,97-54-1,0.4615384615384616,0.1338363157384329,0.5632183908045978,0.5632183908045978
DTXSID90197034,471-01-2,beta-Isophorone,0,0,beta-Isophorone,471-01-2,DTXSID7022413,Isoeugenol,97-54-1,0.4615384615384616,0.1338363157384329,0.5632183908045978,0.5632183908045978
DTXSID0022068,591-78-6,2-Hexanone,0,0,2-Hexanone,591-78-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.45454545454545464,0.1404130384122874,0.5574712643678161,0.5574712643678161
DTXSID4044878,2315-68-6,Propyl benzoate,0,0,Propyl benzoate,2315-68-6,DTXSID7022413,Isoeugenol,97-54-1,0.45454545454545464,0.1404130384122874,0.5574712643678161,0.5574712643678161
DTXSID2052106,4435-53-4,3-Methoxybutyl acetate,0,0,3-Methoxybutyl acetate,4435-53-4,DTXSID3020964,Nitrobenzene,98-95-3,0.4475524475524476,0.1472053777671552,0.5517241379310346,0.5517241379310346
DTXSID20863412,4534-53-6,(Tridecan-2-yl)benzene,0,0,(Tridecan-2-yl)benzene,4534-53-6,DTXSID7022413,Isoeugenol,97-54-1,0.4475524475524476,0.1472053777671552,0.5517241379310346,0.5517241379310346
DTXSID80177103,2258-42-6,"Acetic acid, anhydride with formic acid",0,0,"Acetic acid, anhydride with formic acid",2258-42-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4475524475524476,0.1472053777671552,0.5517241379310346,0.5517241379310346
DTXSID6020351,123-73-9,(E)-Crotonaldehyde,1,0.25,(E)-Crotonaldehyde,123-73-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.13986013986013987,0.6671505359874287,0.29885057471264365,0.5488505747126436
DTXSID2043749,555-96-4,Benzylhydrazine,0,0,Benzylhydrazine,555-96-4,DTXSID7022413,Isoeugenol,97-54-1,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID4047620,109-08-0,2-Methylpyrazine,0,0,2-Methylpyrazine,109-08-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID4047620,109-08-0,2-Methylpyrazine,0,0,2-Methylpyrazine,109-08-0,DTXSID3020964,Nitrobenzene,98-95-3,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID40862922,2400-00-2,3-Phenyldodecane,0,0,3-Phenyldodecane,2400-00-2,DTXSID7022413,Isoeugenol,97-54-1,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID5020499,127-19-5,"N,N-Dimethylacetamide",0,0,"N,N-Dimethylacetamide",127-19-5,DTXSID3020964,Nitrobenzene,98-95-3,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID6021616,20324-33-8,1-[2-(2-Methoxy-1-methylethoxy)-1-methylethoxy]-2-propanol,0,0,1-[2-(2-Methoxy-1-methylethoxy)-1-methylethoxy]-2-propanol,20324-33-8,DTXSID7022413,Isoeugenol,97-54-1,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID80863413,4534-59-2,(Tetradecan-2-yl)benzene,0,0,(Tetradecan-2-yl)benzene,4534-59-2,DTXSID7022413,Isoeugenol,97-54-1,0.44055944055944063,0.1542157502567181,0.5459770114942528,0.5459770114942528
DTXSID20966058,51756-18-4,5-Methyl-3-methylidenehex-5-en-2-one,1,0.25,5-Methyl-3-methylidenehex-5-en-2-one,51756-18-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1328671328671329,0.6833655342846062,0.29310344827586204,0.5431034482758621
DTXSID7021520,143-22-6,2-[2-(2-Butoxyethoxy)ethoxy]ethanol,0,0,2-[2-(2-Butoxyethoxy)ethoxy]ethanol,143-22-6,DTXSID7022413,Isoeugenol,97-54-1,0.43356643356643365,0.16144642634982315,0.5402298850574714,0.5402298850574714
DTXSID3063625,4853-56-9,"1-Butanamine, N-butylidene-",1,0.25,"1-Butanamine, N-butylidene-",4853-56-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1258741258741259,0.6997122207317211,0.28735632183908044,0.5373563218390804
DTXSID90883405,493-02-7,"Naphthalene, decahydro-, trans-",1,0.25,"Naphthalene, decahydro-, trans-",493-02-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1258741258741259,0.6997122207317211,0.28735632183908044,0.5373563218390804
DTXSID6027636,6863-58-7,Bis(2-butyl) ether,0,0,Bis(2-butyl) ether,6863-58-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4265734265734267,0.1688995254052027,0.5344827586206897,0.5344827586206897
DTXSID3051591,116-11-0,2-Methoxyprop-1-ene,1,0.25,2-Methoxyprop-1-ene,116-11-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1188811188811189,0.7161843265955253,0.2816091954022989,0.5316091954022989
DTXSID7021609,505-57-7,2-Hexenal,1,0.25,2-Hexenal,505-57-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1188811188811189,0.7161843265955253,0.2816091954022989,0.5316091954022989
DTXSID7060257,542-55-2,"Formic acid, 2-methylpropyl ester",0,0,"Formic acid, 2-methylpropyl ester",542-55-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4195804195804196,0.17657701069755086,0.528735632183908,0.528735632183908
DTXSID0052540,78-85-3,Methacrylaldehyde,1,0.25,Methacrylaldehyde,78-85-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1118881118881119,0.7327754460345058,0.2758620689655173,0.5258620689655173
DTXSID0074716,58175-57-8,"1-Pentanol, 2-propyl-",0,0,"1-Pentanol, 2-propyl-",58175-57-8,DTXSID7022413,Isoeugenol,97-54-1,0.4125874125874126,0.1844806846022618,0.5229885057471265,0.5229885057471265
DTXSID40337968,999-65-5,"Butane, 1-(1-methylpropoxy)-",0,0,"Butane, 1-(1-methylpropoxy)-",999-65-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4125874125874126,0.1844806846022618,0.5229885057471265,0.5229885057471265
DTXSID10863168,3404-72-6,"2,3-Dimethylpent-1-ene",1,0.25,"2,3-Dimethylpent-1-ene",3404-72-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.5201149425287357
DTXSID7024952,111-92-2,N-Butyl-1-butanamine,1,0.25,N-Butyl-1-butanamine,111-92-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.5201149425287357
DTXSID9061091,764-39-6,2-Pentenal,1,0.25,2-Pentenal,764-39-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.5201149425287357
DTXSID1023786,624-83-9,Methyl isocyanate,0,0,Methyl isocyanate,624-83-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4055944055944056,0.1926121839460474,0.5172413793103448,0.5172413793103448
DTXSID20881212,5208-59-3,(-)-beta-bourbonene,1,0.25,(-)-beta-bourbonene,5208-59-3,DTXSID7022413,Isoeugenol,97-54-1,0.09790209790209792,0.766288456385056,0.26436781609195403,0.514367816091954
DTXSID50338426,821-74-9,"4,5-Nonadiene",1,0.25,"4,5-Nonadiene",821-74-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.09090909090909093,0.7831969102946084,0.25862068965517243,0.5086206896551724
DTXSID5060275,547-63-7,"Propanoic acid, 2-methyl-, methyl ester",0,0,"Propanoic acid, 2-methyl-, methyl ester",547-63-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.39160839160839167,0.2095643518362367,0.5057471264367815,0.5057471264367815
DTXSID8047559,2639-63-6,Hexyl butyrate,0,0,Hexyl butyrate,2639-63-6,DTXSID7022413,Isoeugenol,97-54-1,0.39160839160839167,0.2095643518362367,0.5057471264367815,0.5057471264367815
DTXSID80862406,767-58-8,"1-Methyl-2,3-dihydro-1H-indene",0,0,"1-Methyl-2,3-dihydro-1H-indene",767-58-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.39160839160839167,0.2095643518362367,0.5057471264367815,0.5057471264367815
DTXSID4073885,80-55-7,"Propanoic acid, 2-hydroxy-2-methyl-, ethyl ester",0,0,"Propanoic acid, 2-hydroxy-2-methyl-, ethyl ester",80-55-7,DTXSID3020964,Nitrobenzene,98-95-3,0.3846153846153847,0.21838742691298801,0.5000000000000001,0.5000000000000001
DTXSID30338580,81983-71-3,"1,1-Dimethyl-2-propylcyclohexane",1,0.25,"1,1-Dimethyl-2-propylcyclohexane",81983-71-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.07692307692307693,0.8172832907063169,0.2471264367816092,0.49712643678160917
DTXSID2050403,611-14-3,1-Ethyl-2-methylbenzene,0,0,1-Ethyl-2-methylbenzene,611-14-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.37762237762237766,0.22744313246537842,0.4942528735632184,0.4942528735632184
DTXSID2059358,108-08-7,"2,4-Dimethylpentane",0,0,"2,4-Dimethylpentane",108-08-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.37762237762237766,0.22744313246537842,0.4942528735632184,0.4942528735632184
DTXSID9025796,111-84-2,Nonane,0,0,Nonane,111-84-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.37762237762237766,0.22744313246537842,0.4942528735632184,0.4942528735632184
DTXSID3074608,6290-49-9,"Acetic acid, 2-methoxy-, methyl ester",0,0,"Acetic acid, 2-methoxy-, methyl ester",6290-49-9,DTXSID3020964,Nitrobenzene,98-95-3,0.3706293706293707,0.23673221413855,0.4885057471264368,0.4885057471264368
DTXSID4021890,108-20-3,Isopropyl ether,0,0,Isopropyl ether,108-20-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3706293706293707,0.23673221413855,0.4885057471264368,0.4885057471264368
DTXSID301017689,39029-41-9,gamma-Cadinene,1,0.25,gamma-Cadinene,39029-41-9,DTXSID7022413,Isoeugenol,97-54-1,0.06293706293706294,0.8516819112532922,0.23563218390804602,0.485632183908046
DTXSID401017737,30021-74-0,gamma-Muurolene,1,0.25,gamma-Muurolene,30021-74-0,DTXSID7022413,Isoeugenol,97-54-1,0.06293706293706294,0.8516819112532922,0.23563218390804602,0.485632183908046
DTXSID3052488,7452-79-1,Ethyl 2-methylbutyrate,0,0,Ethyl 2-methylbutyrate,7452-79-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3636363636363637,0.24625522801216132,0.4827586206896552,0.4827586206896552
DTXSID5027223,590-01-2,Butyl propionate,0,0,Butyl propionate,590-01-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3636363636363637,0.24625522801216132,0.4827586206896552,0.4827586206896552
DTXSID70183697,295-17-0,Cyclotetradecane,0,0,Cyclotetradecane,295-17-0,DTXSID7022413,Isoeugenol,97-54-1,0.3636363636363637,0.24625522801216132,0.4827586206896552,0.4827586206896552
DTXSID8041321,513-85-9,"2,3-Butanediol",0,0,"2,3-Butanediol",513-85-9,DTXSID3020964,Nitrobenzene,98-95-3,0.3636363636363637,0.24625522801216132,0.4827586206896552,0.4827586206896552
DTXSID90147918,1071-81-4,"2,2,5,5-Tetramethylhexane",0,0,"2,2,5,5-Tetramethylhexane",1071-81-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3636363636363637,0.24625522801216132,0.4827586206896552,0.4827586206896552
DTXSID6021402,95-63-6,"1,2,4-Trimethylbenzene",0,0,"1,2,4-Trimethylbenzene",95-63-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3566433566433567,0.25601253730902407,0.4770114942528736,0.4770114942528736
DTXSID6050386,620-14-4,3-Ethyltoluene,0,0,3-Ethyltoluene,620-14-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3566433566433567,0.25601253730902407,0.4770114942528736,0.4770114942528736
DTXSID0049319,562-49-2,"3,3-Dimethylpentane",0,0,"3,3-Dimethylpentane",562-49-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.34965034965034975,0.26600430932519,0.47126436781609204,0.47126436781609204
DTXSID80147866,1070-66-2,2-Methylenehexanal,1,0.25,2-Methylenehexanal,1070-66-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.04195804195804196,0.9037388362023697,0.21839080459770116,0.46839080459770116
DTXSID2060468,592-84-7,"Formic acid, butyl ester",0,0,"Formic acid, butyl ester",592-84-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.34265734265734266,0.27623051258815623,0.46551724137931033,0.46551724137931033
DTXSID7047728,97-62-1,Ethyl isobutyrate,0,0,Ethyl isobutyrate,97-62-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.34265734265734266,0.27623051258815623,0.46551724137931033,0.46551724137931033
DTXSID0074558,557-17-5,"Propane, 1-methoxy-",0,0,"Propane, 1-methoxy-",557-17-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3356643356643357,0.2866909142497456,0.45977011494252873,0.45977011494252873
DTXSID70147931,1072-05-5,"2,6-Dimethylheptane",0,0,"2,6-Dimethylheptane",1072-05-5,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3356643356643357,0.2866909142497456,0.45977011494252873,0.45977011494252873
DTXSID7073931,824-22-6,4-Methylindan,0,0,4-Methylindan,824-22-6,DTXSID7022413,Isoeugenol,97-54-1,0.3356643356643357,0.2866909142497456,0.45977011494252873,0.45977011494252873
DTXSID8044202,112-14-1,Octyl acetate,0,0,Octyl acetate,112-14-1,DTXSID7022413,Isoeugenol,97-54-1,0.3356643356643357,0.2866909142497456,0.45977011494252873,0.45977011494252873
DTXSID70881267,25246-27-9,(-)-Alloaromadendrene,1,0.25,(-)-Alloaromadendrene,25246-27-9,DTXSID7022413,Isoeugenol,97-54-1,0.027972027972027975,0.9386633634935001,0.20689655172413793,0.4568965517241379
DTXSID90196224,4457-00-5,"Cyclopentane, hexyl-",1,0.25,"Cyclopentane, hexyl-",4457-00-5,DTXSID7022413,Isoeugenol,97-54-1,0.027972027972027975,0.9386633634935001,0.20689655172413793,0.4568965517241379
DTXSID0027197,547-64-8,Methyl 2-hydroxypropanoate,0,0,Methyl 2-hydroxypropanoate,547-64-8,DTXSID3020964,Nitrobenzene,98-95-3,0.3286713286713287,0.29738507772010603,0.4540229885057471,0.4540229885057471
DTXSID1044803,141-63-9,Dodecamethylpentasiloxane,0,0,Dodecamethylpentasiloxane,141-63-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3216783216783217,0.30831236054913386,0.4482758620689655,0.4482758620689655
DTXSID3041904,10233-13-3,Isopropyl Laurate,0,0,Isopropyl Laurate,10233-13-3,DTXSID7022413,Isoeugenol,97-54-1,0.3216783216783217,0.30831236054913386,0.4482758620689655,0.4482758620689655
DTXSID30893088,626-93-7,2-?Hexanol,0,0,2-?Hexanol,626-93-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3216783216783217,0.30831236054913386,0.4482758620689655,0.4482758620689655
DTXSID6020515,68-12-2,"N,N-Dimethylformamide",0,0,"N,N-Dimethylformamide",68-12-2,DTXSID3020964,Nitrobenzene,98-95-3,0.3216783216783217,0.30831236054913386,0.4482758620689655,0.4482758620689655
DTXSID0021888,107-87-9,2-Pentanone,0,0,2-Pentanone,107-87-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.31468531468531474,0.31947191256145246,0.4425287356321839,0.4425287356321839
DTXSID4021688,112-44-7,Undecanal,0,0,Undecanal,112-44-7,DTXSID7022413,Isoeugenol,97-54-1,0.31468531468531474,0.31947191256145246,0.4425287356321839,0.4425287356321839
DTXSID1021665,124-25-4,Tetradecanal,0,0,Tetradecanal,124-25-4,DTXSID7022413,Isoeugenol,97-54-1,0.3076923076923077,0.3308626742508928,0.43678160919540227,0.43678160919540227
DTXSID1021904,109-73-9,Butylamine,0,0,Butylamine,109-73-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.3076923076923077,0.3308626742508928,0.43678160919540227,0.43678160919540227
DTXSID2025347,98-00-0,Furfuryl alcohol,0,0,Furfuryl alcohol,98-00-0,DTXSID3020964,Nitrobenzene,98-95-3,0.3076923076923077,0.3308626742508928,0.43678160919540227,0.43678160919540227
DTXSID00866401,54105-67-8,"2,6-Dimethylheptadecane",0,0,"2,6-Dimethylheptadecane",54105-67-8,DTXSID7022413,Isoeugenol,97-54-1,0.30069930069930073,0.34248337544019264,0.4310344827586208,0.4310344827586208
DTXSID5052256,591-76-4,2-Methylhexane,0,0,2-Methylhexane,591-76-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.30069930069930073,0.34248337544019264,0.4310344827586208,0.4310344827586208
DTXSID6060343,565-75-3,"2,3,4-Trimethylpentane",0,0,"2,3,4-Trimethylpentane",565-75-3,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.30069930069930073,0.34248337544019264,0.4310344827586208,0.4310344827586208
DTXSID7027201,554-12-1,Methyl propanoate,0,0,Methyl propanoate,554-12-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.30069930069930073,0.34248337544019264,0.4310344827586208,0.4310344827586208
DTXSID9021928,111-15-9,Ethylene glycol monoethyl ether acetate,0,0,Ethylene glycol monoethyl ether acetate,111-15-9,DTXSID3020964,Nitrobenzene,98-95-3,0.30069930069930073,0.34248337544019264,0.4310344827586208,0.4310344827586208
DTXSID0022062,563-80-4,3-Methyl-2-butanone,0,0,3-Methyl-2-butanone,563-80-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.29370629370629375,0.35433253421137584,0.42528735632183906,0.42528735632183906
DTXSID3044334,589-34-4,3-Methylhexane,0,0,3-Methylhexane,589-34-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2867132867132867,0.36640845611198763,0.41954022988505746,0.41954022988505746
DTXSID60197142,4744-10-9,"1,1-Dimethoxypropane",0,0,"1,1-Dimethoxypropane",4744-10-9,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2867132867132867,0.36640845611198763,0.41954022988505746,0.41954022988505746
DTXSID70334425,3404-80-6,2-Ethyl-4-methyl-1-pentene,1,0.25,2-Ethyl-4-methyl-1-pentene,3404-80-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.02097902097902098,0.9561691549379485,0.16666666666666666,0.41666666666666663
DTXSID0044313,626-89-1,4-Methylpentan-1-ol,0,0,4-Methylpentan-1-ol,626-89-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.27272727272727276,0.39123274602615465,0.40804597701149425,0.40804597701149425
DTXSID1022007,142-96-1,Butyl ether,0,0,Butyl ether,142-96-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.27272727272727276,0.39123274602615465,0.40804597701149425,0.40804597701149425
DTXSID9021689,1120-21-4,Undecane,0,0,Undecane,1120-21-4,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.27272727272727276,0.39123274602615465,0.40804597701149425,0.40804597701149425
DTXSID0064048,5878-19-3,"2-Propanone, 1-methoxy-",0,0,"2-Propanone, 1-methoxy-",5878-19-3,DTXSID3020964,Nitrobenzene,98-95-3,0.2657342657342658,0.40397665927502957,0.40229885057471265,0.40229885057471265
DTXSID2026781,108-11-2,4-Methyl-2-pentanol,0,0,4-Methyl-2-pentanol,108-11-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2587412587412588,0.4169384265398784,0.3965517241379311,0.3965517241379311
DTXSID5060805,625-54-7,"Propane, 2-ethoxy-",0,0,"Propane, 2-ethoxy-",625-54-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2587412587412588,0.4169384265398784,0.3965517241379311,0.3965517241379311
DTXSID5066116,16751-59-0,4-Heptanamine,0,0,4-Heptanamine,16751-59-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2587412587412588,0.4169384265398784,0.3965517241379311,0.3965517241379311
DTXSID3047217,544-12-7,3-Hexen-1-ol,1,0.25,3-Hexen-1-ol,544-12-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,-0.04895104895104896,0.8863351088649201,0.14367816091954022,0.3936781609195402
DTXSID0021597,111-71-7,Heptanal,0,0,Heptanal,111-71-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2517482517482518,0.430115288763099,0.39080459770114945,0.39080459770114945
DTXSID2060460,592-27-8,2-Methylheptane,0,0,2-Methylheptane,592-27-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2517482517482518,0.430115288763099,0.39080459770114945,0.39080459770114945
DTXSID3059349,107-52-8,Tetradecamethylhexasiloxane,0,0,Tetradecamethylhexasiloxane,107-52-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2517482517482518,0.430115288763099,0.39080459770114945,0.39080459770114945
DTXSID9047172,593-45-3,Octadecane,0,0,Octadecane,593-45-3,DTXSID7022413,Isoeugenol,97-54-1,0.2517482517482518,0.430115288763099,0.39080459770114945,0.39080459770114945
DTXSID8047769,526-73-8,"1,2,3-Trimethylbenzene",0,0,"1,2,3-Trimethylbenzene",526-73-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.24475524475524477,0.44350427562788497,0.3850574712643678,0.3850574712643678
DTXSID40211890,628-80-8,"Ether, methyl pentyl",0,0,"Ether, methyl pentyl",628-80-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2377622377622378,0.4571022068090017,0.3793103448275862,0.3793103448275862
DTXSID5062633,2765-11-9,Pentadecanal,0,0,Pentadecanal,2765-11-9,DTXSID7022413,Isoeugenol,97-54-1,0.2377622377622378,0.4571022068090017,0.3793103448275862,0.3793103448275862
DTXSID90866031,41065-97-8,4-Methylhexanal,0,0,4-Methylhexanal,41065-97-8,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2377622377622378,0.4571022068090017,0.3793103448275862,0.3793103448275862
DTXSID7062906,3208-16-0,"Furan, 2-ethyl-",0,0,"Furan, 2-ethyl-",3208-16-0,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.2307692307692308,0.47090569352639616,0.3735632183908046,0.3735632183908046
DTXSID1026118,119-64-2,Tetralin,1,0.25,Tetralin,119-64-2,DTXSID7022413,Isoeugenol,97-54-1,-0.07692307692307693,0.8172832907063171,0.1206896551724138,0.3706896551724138
