DTXSID,ss_cas,ss_chemname,total_enrich_feat,SS_score,uc_chemname,uc_cas,bc_DTXSID,bc_chemname,bc_cas,sr_cor,sr_pval,PS_score,prioritization_score
DTXSID20214405,642-71-7,"3,4,5-Trimethoxyphenol",0,0,"3,4,5-Trimethoxyphenol",642-71-7,DTXSID7022413,Isoeugenol,97-54-1,0.7202797202797203,0.011020518688963307,0.7758620689655172,0.7758620689655172
DTXSID5052626,93-35-6,Umbelliferone,0,0,Umbelliferone,93-35-6,DTXSID7022413,Isoeugenol,97-54-1,0.7202797202797203,0.011020518688963307,0.7758620689655172,0.7758620689655172
DTXSID8059001,89-95-2,2-Methylbenzyl alcohol,0,0,2-Methylbenzyl alcohol,89-95-2,DTXSID7022413,Isoeugenol,97-54-1,0.7202797202797203,0.011020518688963307,0.7758620689655172,0.7758620689655172
DTXSID3025590,96-37-7,Methylcyclopentane,1,0.25,Methylcyclopentane,96-37-7,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.4125874125874126,0.1844806846022618,0.5229885057471265,0.7729885057471265
DTXSID1021792,90-02-8,Salicylaldehyde,0,0,Salicylaldehyde,90-02-8,DTXSID7022413,Isoeugenol,97-54-1,0.7132867132867134,0.012114394881595453,0.7701149425287358,0.7701149425287358
DTXSID7021657,1009-61-6,"1,4-Diacetylbenzene",0,0,"1,4-Diacetylbenzene",1009-61-6,DTXSID3020964,Nitrobenzene,98-95-3,0.7132867132867134,0.012114394881595453,0.7701149425287358,0.7701149425287358
DTXSID80218060,6781-42-6,"Benzene-1,3-bis(acetyl)",0,0,"Benzene-1,3-bis(acetyl)",6781-42-6,DTXSID3020964,Nitrobenzene,98-95-3,0.7132867132867134,0.012114394881595453,0.7701149425287358,0.7701149425287358
DTXSID90335035,7780-16-7,Phenyl hexanoate,0,0,Phenyl hexanoate,7780-16-7,DTXSID7022413,Isoeugenol,97-54-1,0.7132867132867134,0.012114394881595453,0.7701149425287358,0.7701149425287358
DTXSID1027269,629-73-2,1-Hexadecene,2,0.5,1-Hexadecene,629-73-2,DTXSID7022413,Isoeugenol,97-54-1,0.1048951048951049,0.7494790426721833,0.27011494252873564,0.7701149425287357
DTXSID7049423,621-59-0,3-Hydroxy-4-methoxy-benzaldehyde,0,0,3-Hydroxy-4-methoxy-benzaldehyde,621-59-0,DTXSID3020964,Nitrobenzene,98-95-3,0.7062937062937064,0.01328611352164718,0.764367816091954,0.764367816091954
DTXSID90880873,74685-33-9,"3-eicosene, (e)-",1,0.25,"3-eicosene, (e)-",74685-33-9,DTXSID7022413,Isoeugenol,97-54-1,0.39860139860139865,0.20097297553057916,0.5114942528735633,0.7614942528735633
DTXSID0023117,113-00-8,Guanidine,0,0,Guanidine,113-00-8,DTXSID7022413,Isoeugenol,97-54-1,0.6993006993006995,0.014539311870507278,0.7586206896551726,0.7586206896551726
DTXSID4025610,1571-08-0,Methyl 4-formylbenzoate,0,0,Methyl 4-formylbenzoate,1571-08-0,DTXSID7022413,Isoeugenol,97-54-1,0.6993006993006995,0.014539311870507278,0.7586206896551726,0.7586206896551726
DTXSID4040002,131-70-4,Monobutyl phthalate,0,0,Monobutyl phthalate,131-70-4,DTXSID7022413,Isoeugenol,97-54-1,0.6993006993006995,0.014539311870507278,0.7586206896551726,0.7586206896551726
DTXSID4058948,86-81-7,"Benzaldehyde, 3,4,5-trimethoxy-",0,0,"Benzaldehyde, 3,4,5-trimethoxy-",86-81-7,DTXSID7022413,Isoeugenol,97-54-1,0.6993006993006995,0.014539311870507278,0.7586206896551726,0.7586206896551726
DTXSID6062179,2103-57-3,"2,3,4-Trimethoxybenzaldehyde",0,0,"2,3,4-Trimethoxybenzaldehyde",2103-57-3,DTXSID7022413,Isoeugenol,97-54-1,0.6993006993006995,0.014539311870507278,0.7586206896551726,0.7586206896551726
DTXSID9025116,1467-79-4,Dimethyl cyanamide,0,0,Dimethyl cyanamide,1467-79-4,DTXSID3020964,Nitrobenzene,98-95-3,0.6993006993006995,0.014539311870507278,0.7586206896551726,0.7586206896551726
DTXSID3051460,1454-85-9,Heptadecan-1-ol,0,0,Heptadecan-1-ol,1454-85-9,DTXSID7022413,Isoeugenol,97-54-1,0.6923076923076924,0.01587769332201156,0.7528735632183909,0.7528735632183909
DTXSID50881220,74381-40-1,"2,4,4-Trimethylpentane-1,3-diyl bis(2-methylpropanoate)",0,0,"2,4,4-Trimethylpentane-1,3-diyl bis(2-methylpropanoate)",74381-40-1,DTXSID7022413,Isoeugenol,97-54-1,0.6923076923076924,0.01587769332201156,0.7528735632183909,0.7528735632183909
DTXSID70862293,616-25-1,1-Penten-3-ol,2,0.5,1-Penten-3-ol,616-25-1,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.08391608391608392,0.8001975179523347,0.2528735632183908,0.7528735632183907
DTXSID6061315,934-34-9,Benzothiazolone,0,0,Benzothiazolone,934-34-9,DTXSID7022413,Isoeugenol,97-54-1,0.6853146853146853,0.017305023487059572,0.7471264367816092,0.7471264367816092
DTXSID1029124,95-93-2,"1,2,4,5-Tetramethylbenzene",0,0,"1,2,4,5-Tetramethylbenzene",95-93-2,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6783216783216784,0.01882512605252116,0.7413793103448277,0.7413793103448277
DTXSID2059643,134-96-3,Syringaldehyde,0,0,Syringaldehyde,134-96-3,DTXSID7022413,Isoeugenol,97-54-1,0.6783216783216784,0.01882512605252116,0.7413793103448277,0.7413793103448277
DTXSID6047105,93-51-6,2-Methoxy-4-methylphenol,0,0,2-Methoxy-4-methylphenol,93-51-6,DTXSID7022413,Isoeugenol,97-54-1,0.6783216783216784,0.01882512605252116,0.7413793103448277,0.7413793103448277
DTXSID7061433,1066-40-6,Trimethylsilanol,0,0,Trimethylsilanol,1066-40-6,DTXSID2021026,N-Nitrosodibutylamine,924-16-3,0.6783216783216784,0.01882512605252116,0.7413793103448277,0.7413793103448277
